referência,descrição,produtos,descrição,preço,observação
1,HSA 26 SET 127V Podador de arbustos a bateria,HA03-011-3509,HSA 26 SET 127V Podador de arbustos a bateria,,Produto acompanha bateria e carregador
2,HSA 26 SET 220V Podador de arbustos a bateria,HA03-011-3518,HSA 26 SET 220V Podador de arbustos a bateria,,Produto acompanha bateria e carregador
3,HSA 26 Podador de arbustos a bateria,HA03-011-3503,HSA 26 Podador de arbustos a bateria,,Bateria Recomendada: AS 2
4,GTA 26 SET Podador de galhos a bateria 127V,GA01-011-6913,GTA 26 SET Podador de galhos a bateria 127V,,Produto acompanha bateria e carregador
5,GTA 26 SET Podador de galhos a bateria 220V,GA01-011-6923,GTA 26 SET Podador de galhos a bateria 220V,,Produto acompanha bateria e carregador
6,FSA 45 Roçadeira a bateria,4512-011-5707,FSA 45 Roçadeira a bateria,,Produto acompanha bateria e carregador
7,"HSA 45 Podador a bateria, 500mm/20""",4511-011-3507,"HSA 45 Podador a bateria, 500mm/20""",,Produto acompanha bateria e carregador
8,BGA 45 Soprador a bateria,4513-011-5907,BGA 45 Soprador a bateria,,Produto acompanha bateria e carregador
9,"MSA 120 C-B 1/4""P P SET Motosserra a bateria 127V",1254-011-5887,"MSA 120 C-B 1/4""P P SET Motosserra a",,Produto acompanha bateria e carregador
10,"MSA 120 C-B 1/4""P P SET Motosserra a bateria 220V",1254-011-5886,"MSA 120 C-B 1/4""P P SET Motosserra a",,Produto acompanha bateria e carregador
11,"MSA 120 C-B 1/4""P P Motosserra a bateria",1254-011-5873,"MSA 120 C-B 1/4""P P Motosserra a bateria",,Bateria Recomendada: AK 20
12,"MSA 140 C-B 1/4""P P SET Motosserra a bateria 127V",1254-011-5857,"MSA 140 C-B 1/4""P P SET Motosserra a",,Produto acompanha bateria e carregador
13,"MSA 140 C-B 1/4""P P SET Motosserra a bateria 220V",1254-011-5856,"MSA 140 C-B 1/4""P P SET Motosserra a",,Produto acompanha bateria e carregador
14,"MSA 140 C-B 1/4""P P Motosserra a bateria",1254-011-5843,"MSA 140 C-B 1/4""P P Motosserra a bateria",,Bateria Recomendada: AK 30
15,"FSA 56 SET Roçadeira a bateria, AutoCut 127V",4522-011-5717,"FSA 56 SET Roçadeira a bateria, AutoCut",,Produto acompanha bateria e carregador
16,"FSA 56 SET Roçadeira a bateria, AutoCut 220V",4522-011-5716,"FSA 56 SET Roçadeira a bateria, AutoCut",,Produto acompanha bateria e carregador
17,"FSA 56 Roçadeira a bateria, AutoCut 2-2",4522-011-5703,"FSA 56 Roçadeira a bateria, AutoCut 2-2",,Bateria Recomendada: AK 10
18,"HSA 56 SET Podador a bateria, 450mm/18"" 127V",4521-011-3517,"HSA 56 SET Podador a bateria, 450mm/18""",,Produto acompanha bateria e carregador
19,"HSA 56 SET Podador a bateria, 450mm/18"" 220V",4521-011-3516,"HSA 56 SET Podador a bateria, 450mm/18""",,Produto acompanha bateria e carregador
20,"HSA 56 Podador a bateria, 450mm/18""",4521-011-3503,"HSA 56 Podador a bateria, 450mm/18""",,Bateria Recomendada: AK 10
21,BGA 57 SET Soprador a bateria 127V,4523-011-5977,BGA 57 SET Soprador a bateria,,Produto acompanha bateria e carregador
22,BGA 57 SET Soprador a bateria 220V,4523-011-5976,BGA 57 SET Soprador a bateria,,Produto acompanha bateria e carregador
23,BGA 57 Soprador a bateria,4523-011-5963,BGA 57 Soprador a bateria,,Bateria Recomendada: AK 20
24,RMA 460 Cortador de grama a bateria,6368-011-1402,RMA 460 Cortador de grama a bateria,,Bateria Recomendada: AK 30
25,RMA 460.0 V Cortador de grama a bateria,6368-011-1412,RMA 460.0 V Cortador de grama a bateria,,Bateria Recomendada: AK 30
26,RMA 510 Cortador de grama a bateria,6372-011-1402,RMA 510 Cortador de grama a bateria,,Bateria Recomendada: AP 300
27,RMA 510.0 V Cortador de grama a bateria,6372-011-1412,RMA 510.0 V Cortador de grama a bateria,,Bateria Recomendada: AP 300
28,RMA 370 Cortador de grama a bateria,6320-011-1453,RMA 370 Cortador de grama a bateria,-,Bateria Recomendada: AP 300
29,"HSA 66 Podador a bateria, 500mm/20""",4851-011-3527,"HSA 66 Podador a bateria, 500mm/20""",,Bateria Recomendada: AP 200
30,TSA 230 Cortador a disco a bateria,4864-011-6600,TSA 230 Cortador a disco a bateria,,Bateria Recomendada: AP 300
31,"MSA 161 T  Motosserra a bateria,30cm/12""",1252-200-0054,"MSA 161 T  Motosserra a bateria,30cm/12""",,Bateria Recomendada: AP 200
32,MSA 160 C-B  Motosserra a bateria,1250-200-0059,MSA 160 C-B  Motosserra a bateria,,Bateria Recomendada: AP 200
33,MSA 200 C-B  Motosserra a bateria,1251-200-0031,MSA 200 C-B  Motosserra a bateria,,Bateria Recomendada: AP 300
34,MSA 220 C-BQ Motosserra a bateria,1251-200-0109,MSA 220 C-BQ Motosserra a bateria,,Bateria Recomendada: AP 300 S
35,"FSA 65 Roçadeira a bateria, AutoCut C4-2",4852-011-5712,"FSA 65 Roçadeira a bateria, AutoCut C4-2",,Bateria Recomendada: AP 200
36,"FSA 85 Roçadeira a bateria, AutoCut C4-2",4852-011-5709,"FSA 85 Roçadeira a bateria, AutoCut C4-2",,Bateria Recomendada: AP 300
37,"HTA 86 1/4""P Moto-poda a bateria",LA03-200-0010,"HTA 86 1/4""P Moto-poda a bateria",,Bateria Recomendada: AP 300
38,KGA 770 Varredeira a bateria,4860-011-4703,KGA 770 Varredeira a bateria,-,Bateria Recomendada: AP 200
39,BGA 86 Soprador a bateria,BA02-011-5904,BGA 86 Soprador a bateria,,Bateria Recomendada: AP 300
40,HLA 56 Podador de altura a bateria,HA01-011-2903,HLA 56 Podador de altura a bateria,,Bateria Recomendada: AK 10
41,HLA 66 Podador de altura a bateria,4859-011-2914,HLA 66 Podador de altura a bateria,,Bateria Recomendada: AP 200
42,SPA 65 Colhedor especial a bateria,4855-011-0700,SPA 65 Colhedor especial a bateria,,Bateria Recomendada: AP 300
1,,,,,
2,AK 10 Bateria,4520-400-6500,AK 10 Bateria,,
3,AK 20 Bateria,4520-400-6518,AK 20 Bateria,,
4,AK 30 Bateria,4520-400-6512,AK 30 Bateria,,
5,AP 200 Bateria,4850-400-6560,AP 200 Bateria,,
6,AP 300 Bateria,4850-400-6570,AP 300 Bateria,,
7,AP 300 S Bateria,4850-400-6580,AP 300 S Bateria,,
8,"AL 101, 127 V Carregador",4850-430-2529,"AL 101, 127 V Carregador",,
9,"AL 101, 220 V Carregador",4850-430-2528,"AL 101, 220 V Carregador",,
10,"AL 300, 127 V Carregador rápido de bateria",4850-430-5509,"AL 300, 127 V Carregador rápido de",,
11,"AL 300, 220 V Carregador rápido de bateria",4850-430-5508,"AL 300, 220 V Carregador rápido de",,
12,"AL 500, 127 V Carregador rápido de bateria",4850-430-5709,"AL 500, 127 V Carregador rápido de bateria",,
13,"AL 500, 220 V Carregador rápido de bateria",4850-430-5708,"AL 500, 220 V Carregador rápido de bateria",,
14,Bateria HSA 25,4515-400-6500,Bateria HSA 25,-,
15,Carregador HSA 25,4515-430-2508,Carregador,-,
16,Haste telescópica HSA 26,HA03-710-7100,Haste telescópica HSA 26,,
17,AS 2 Bateria,EA02-400-6500,AS 2 Bateria,,
18,AL 1 - 127 V Carregador,EA03-430-2509,AL 1 - 127 V Carregador,,
19,AL 1 - 220 V Carregador,EA03-430-2508,AL 1 - 220 V Carregador,,
